            age,Hours_Studied,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Family_Income,School_Type,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
23,Low,No,7,73,Low,Yes,Low,Public,3,No,High School,Near,Male,67
19,Low,No,8,59,Low,Yes,Medium,Public,4,No,College,Moderate,Female,61
24,Medium,Yes,7,91,Medium,Yes,Medium,Public,4,No,Postgraduate,Near,Male,74
29,Low,Yes,8,98,Medium,Yes,Medium,Public,4,No,High School,Moderate,Male,71
19,Medium,Yes,6,65,Medium,Yes,Medium,Public,4,No,College,Near,Female,70
19,Medium,Yes,8,89,Medium,Yes,Medium,Public,3,No,Postgraduate,Near,Male,71
29,Medium,Yes,7,68,Low,Yes,Low,Private,2,No,High School,Moderate,Male,67
25,Low,Yes,6,50,Medium,Yes,High,Public,2,No,High School,Far,Male,66
17,Medium,No,6,80,High,Yes,Medium,Private,1,No,College,Near,Male,69
23,Medium,Yes,8,71,Medium,Yes,High,Public,5,No,High School,Moderate,Male,72
17,Low,No,8,88,Medium,No,Medium,Private,4,No,College,Moderate,Male,68
17,Medium,Yes,6,87,Low,Yes,Low,Private,2,No,High School,Near,Male,71
21,Medium,Yes,8,97,Low,Yes,Medium,Public,4,No,High School,Near,Male,70
9,Medium,Yes,8,72,Medium,Yes,Medium,Private,3,No,Postgraduate,Near,Male,66
10,Medium,Yes,8,74,Medium,Yes,Low,Private,4,No,Postgraduate,Near,Male,65
17,Medium,No,8,70,Medium,Yes,Medium,Private,4,No,High School,Near,Female,64
14,Medium,Yes,10,65,Low,Yes,High,Private,3,No,College,Near,Male,60
22,Low,Yes,6,82,Medium,Yes,Low,Public,3,No,High School,Near,Female,65
15,Medium,Yes,9,91,Low,Yes,Low,Public,2,No,College,Moderate,Female,67
12,Medium,Yes,7,58,Medium,Yes,Medium,Private,4,No,College,Near,Male,66
29,Medium,No,5,99,High,Yes,High,Public,1,No,High School,Moderate,Female,69
19,Medium,No,6,84,Medium,Yes,Medium,Public,3,No,High School,Near,Male,72
20,Medium,No,8,89,Low,Yes,Medium,Public,2,No,College,Moderate,Female,66
11,High,Yes,8,100,High,Yes,Low,Public,3,No,High School,Moderate,Male,66
17,Low,Yes,5,75,Medium,Yes,Low,Public,3,No,High School,Near,Female,63
21,High,Yes,6,54,High,Yes,High,Public,3,No,Postgraduate,Far,Male,64
13,Low,No,6,90,Medium,Yes,High,Public,2,Yes,High School,Moderate,Female,65
22,High,Yes,6,94,Medium,Yes,High,Public,2,No,College,Moderate,Male,71
16,Medium,No,4,58,Medium,Yes,Low,Public,3,No,High School,Moderate,Female,66
18,High,No,4,51,Low,Yes,Low,Private,2,No,College,Near,Male,64
16,Low,No,6,57,Medium,Yes,High,Public,4,Yes,High School,Near,Female,63
31,Medium,Yes,7,66,Medium,Yes,High,Public,3,No,College,Near,Male,69
20,Medium,Yes,8,96,Medium,Yes,Medium,Public,3,No,High School,Near,Male,67
14,High,No,5,50,Medium,Yes,Medium,Public,3,No,College,,Female,61
25,High,No,5,90,Medium,Yes,Medium,Public,3,No,College,Moderate,Female,68
13,Low,No,6,93,Low,Yes,Low,Public,3,No,High School,Near,Male,61
21,Medium,Yes,7,91,Low,Yes,Medium,Public,3,No,High School,Far,Female,64
8,Medium,No,9,54,Low,Yes,Low,Public,5,No,Postgraduate,Near,Female,67
12,Low,Yes,8,84,Medium,Yes,Low,Public,5,No,High School,Near,Female,63
21,Low,Yes,6,98,Low,Yes,Medium,Public,4,No,High School,Near,Male,64
24,High,No,8,56,Low,Yes,High,Public,1,No,College,Near,Male,67
21,Medium,Yes,6,52,Low,Yes,Medium,Public,2,Yes,College,Far,Female,65
19,Low,No,7,94,Medium,Yes,Medium,Private,3,No,High School,Moderate,Male,64
18,Medium,Yes,7,82,Medium,Yes,Medium,Private,2,Yes,College,Near,Male,70
11,Medium,Yes,9,82,Low,Yes,Medium,Private,3,No,Postgraduate,Far,Male,68
16,Medium,Yes,8,98,Medium,Yes,Medium,Public,3,No,High School,Moderate,Male,65
17,Medium,Yes,6,88,Medium,Yes,Medium,Private,3,No,College,Near,Female,68
26,Medium,Yes,6,70,Medium,Yes,Low,Public,3,No,High School,Moderate,Female,64
22,Low,Yes,7,72,Low,Yes,Low,Public,2,No,High School,Moderate,Male,68
9,Medium,No,5,57,Medium,Yes,Medium,Public,3,No,High School,Near,Male,63
22,Low,Yes,7,65,Low,Yes,Medium,Public,4,No,College,Moderate,Male,64
18,High,No,7,72,Medium,Yes,Medium,Public,3,No,College,Near,Male,64
16,Low,Yes,8,63,Medium,Yes,Medium,Public,4,No,High School,Near,Male,67
24,High,No,8,96,Medium,Yes,Medium,Public,3,No,High School,Near,Female,67
26,Medium,Yes,7,51,Low,Yes,High,Private,4,Yes,Postgraduate,Far,Female,66
26,Medium,Yes,5,79,Medium,Yes,Low,Private,4,No,College,Moderate,Male,72
15,Medium,No,5,89,Low,No,Medium,Public,2,Yes,High School,Near,Female,65
18,Medium,Yes,6,87,High,Yes,Medium,Public,4,No,High School,Near,Male,71
22,High,No,8,82,Medium,Yes,Medium,Public,1,No,Postgraduate,Near,Female,66
26,Medium,Yes,8,71,Medium,Yes,Low,Private,3,No,High School,Moderate,Male,68
17,Medium,No,7,96,Medium,Yes,High,Public,5,No,Postgraduate,Near,Female,70
19,Medium,Yes,10,66,Low,Yes,Low,Public,3,No,High School,Moderate,Male,62
13,Low,Yes,9,88,High,Yes,Low,Private,4,No,Postgraduate,Far,Male,68
13,Medium,Yes,9,96,High,Yes,Low,Public,3,No,College,Moderate,Male,67
25,Low,Yes,8,56,Medium,No,Medium,Private,3,No,Postgraduate,Near,Male,71
28,Medium,Yes,8,97,Medium,Yes,Medium,Public,2,No,High School,Near,Male,68
20,Medium,Yes,8,89,Medium,Yes,Low,Public,3,No,Postgraduate,Near,Male,69
26,Low,Yes,4,81,High,Yes,Medium,Private,2,No,High School,Moderate,Male,70
22,Medium,No,5,69,Low,No,Low,Public,4,No,High School,Moderate,Female,69
16,Medium,No,7,95,Medium,Yes,Low,Public,4,No,College,Near,Male,65
22,Medium,Yes,7,52,Medium,No,Medium,Public,3,No,College,Near,Female,70
29,Medium,Yes,7,72,Medium,Yes,Low,Public,3,No,High School,Moderate,Male,71
20,Medium,Yes,7,88,Medium,Yes,Low,Public,4,No,College,Near,Female,65
29,Low,No,4,91,Medium,Yes,Medium,Public,1,No,Postgraduate,Near,Female,72
4,High,Yes,8,60,High,Yes,Medium,Private,4,No,College,Moderate,Male,69
25,Medium,No,7,52,Medium,Yes,Medium,Public,3,No,Postgraduate,Near,Female,66
21,Low,Yes,7,90,Medium,Yes,Medium,Private,3,No,Postgraduate,Moderate,Male,68
18,High,Yes,8,71,Medium,Yes,Medium,Public,3,No,High School,Moderate,Female,65
21,Medium,Yes,5,57,Medium,Yes,High,Public,5,Yes,College,Moderate,Male,64
8,Medium,Yes,7,54,Medium,Yes,High,Public,3,No,College,Near,Male,60
19,Medium,Yes,7,82,High,Yes,Low,Public,2,No,High School,Near,Male,65
22,High,No,6,79,High,Yes,Low,Public,3,No,High School,Near,Male,66
29,High,Yes,4,93,Low,Yes,Medium,Public,3,No,College,Near,Male,74
17,Medium,Yes,5,52,High,Yes,Medium,Private,3,No,High School,Far,Female,62
15,Medium,No,7,93,Medium,Yes,Low,Public,4,No,College,Moderate,Male,70
17,Medium,Yes,7,94,Low,Yes,Medium,Public,3,No,High School,Near,Male,69
25,Medium,Yes,7,72,Medium,Yes,Medium,Private,4,No,College,Far,Male,67
22,Low,No,6,54,Medium,Yes,Medium,Public,0,No,High School,Moderate,Male,64
17,Medium,No,5,97,High,Yes,High,Public,3,No,College,Near,Male,71
23,Medium,Yes,7,54,Low,Yes,Medium,Public,3,No,College,Near,Female,68
21,High,No,7,80,Medium,Yes,Medium,Public,4,Yes,College,Near,Male,64
26,Medium,Yes,8,75,Medium,Yes,Medium,Private,4,Yes,High School,Far,Female,63
16,Medium,Yes,6,92,Low,Yes,High,Private,4,No,College,Near,Male,71
18,High,Yes,4,75,Low,Yes,Low,Public,3,No,High School,Moderate,Male,69
18,High,Yes,4,73,Medium,Yes,High,Private,2,No,College,Near,Female,100
11,Medium,No,6,94,Medium,Yes,Medium,Public,3,No,College,Moderate,Male,68
22,Low,No,7,98,Low,No,Medium,Public,3,No,High School,Near,Male,62
22,Medium,Yes,7,77,Low,Yes,Medium,Public,3,No,Postgraduate,Far,Female,68
20,High,Yes,6,73,Medium,Yes,Low,Private,3,No,High School,Far,Male,66
19,Low,No,5,92,High,Yes,Medium,Public,3,No,College,Near,Male,64
12,Medium,No,4,92,High,Yes,Medium,Public,3,Yes,High School,Moderate,Male,67
17,Medium,Yes,8,66,Medium,Yes,High,Public,4,Yes,Postgraduate,Moderate,Female,65
18,Medium,Yes,7,79,Medium,Yes,Low,Private,3,No,College,Far,Male,65
15,High,No,6,58,High,Yes,Low,Public,3,No,College,Near,Male,69
19,Medium,No,5,82,High,Yes,Low,Private,3,No,High School,Near,Male,63
22,Medium,Yes,6,92,Low,Yes,Medium,Public,4,No,Postgraduate,Moderate,Male,72
31,Medium,No,7,59,Medium,Yes,High,Public,5,No,Postgraduate,Moderate,Male,76
21,Medium,Yes,7,66,High,Yes,Low,Public,3,Yes,College,Near,Female,69
22,Medium,Yes,7,72,High,Yes,Low,Public,2,No,Postgraduate,Moderate,Female,67
20,High,Yes,9,92,Medium,Yes,Medium,Public,3,No,College,Near,Male,69
8,High,Yes,6,87,Medium,Yes,Low,Public,2,No,High School,Moderate,Male,63
20,Medium,No,9,66,Medium,Yes,Low,Private,3,No,Postgraduate,Near,Male,67
20,Low,Yes,7,62,High,Yes,Medium,Public,5,No,College,Near,Male,66
35,High,Yes,7,85,Low,Yes,Medium,Private,2,No,Postgraduate,Near,Female,79
19,Medium,No,8,74,Medium,Yes,High,Public,3,No,High School,Near,Female,64
22,High,Yes,6,80,Medium,Yes,High,Public,3,No,High School,Near,Female,73
